Date,Client,Product,Quantity,Price
20/07/2020,00001 CLIENTE CONTADO,"['THE REAL Coconut Tortilla C Pink 5.5oz ', 'Natu Chips Platanos 300g ', 'Natu Chips Platanos 300g ', 'LA PASTOREÑA Deslactosada 1 L ', 'COCACOLA Zero Sugar 12oz 355ml ', 'GULLON Cuor di cereal 265g ', 'GULLON Cuor di cereal 265g ', 'GULLON Tradizionale 280G ', 'GULLON Tradizionale 280G ', 'LA GUANOTA Trenza 330g ', 'HEINZ No Sugar Added Tomato 13oz 369g ', 'MUNCHIES FIT Tortas Varias ']","[1, 1, 1, 6, 10, 1, 1, 1, 1, 1, 1, 1]","[2954700.0, 523438.93, 523438.93, 374850.0, 213150.0, 423850.0, 423850.0, 423850.0, 423850.0, 450000.0, 1478330.0, 1688050.0]"
20/07/2020,00001 CLIENTE CONTADO,"['BLUE diamons Almond Breeze choco 946ml ', 'ANANKE Queso Cabra FETA Cubos 250g ', 'SANTA CRUZ queso de cabra ']","[1, 1, 1]","[1055950.0, 1477350.0, 2322600.0]"
20/07/2020,00001 CLIENTE CONTADO,['ELIGE SALUDABLE EMPANADA '],[2],[2111900.0]
20/07/2020,00003 RAFAEL BLANCO,"['ECO PAN BATATA  Varios ', 'BARILLA linguini 500g ', 'VEGGIECRAFTpasta spagheti cauliflower8oz ', 'LA LUCHA harina de avena 400g ', 'LA LUCHA avena en hojuelas 400g ', 'PLUMROSE Salchicha Wieners LARGA 12unid ', 'PREMIUM guacamole FIESTA 397g ', 'PREMIUM guacamole OREGANO 397g ', 'PREMIUM guacamole CARBONERO 397G ']","[1, 2, 1, 1, 1, 1, 1, 1, 1]","[735000.0, 526750.0, 1690500.0, 398668.51, 298032.17, 842800.0, 1898750.0, 1898750.0, 1898750.0]"
20/07/2020,00001 CLIENTE CONTADO,['COCACOLA Zero Sugar 12oz 355ml '],[5],[213150.0]
20/07/2020,00001 CLIENTE CONTADO,"['BARILLA Spaguhetti n 5  500g ', 'TRUVIA Naturally Sweet Stevia 9.8oz 280g ', 'BOBS KOMBUCHA Sabor Varios 485ml ', 'KERRYGOLD Pure Irish Butter 8oz 227g ', 'CACAO 3 Sanduchito GALLETAS / BROWNIE ', 'KANIU yogurt de ccoco VEGANO 200g ', 'NARU Merey tostado con sal 450G ', 'KABALANCE saludable VARIAS ', 'MUNCHIES FIT Tortas Varias ']","[1, 1, 1, 1, 1, 2, 1, 2, 1]","[526750.0, 2533300.0, 842800.0, 1266650.0, 845250.0, 632100.0, 1923250.0, 1477350.0, 1688050.0]"
20/07/2020,00001 CLIENTE CONTADO,"['LA REAL WRAPS Original 15oz 425.24g ', 'PB2 peanut power with cocoa 184g ', 'KLONDIKE Oreo 4.5oz ', 'FINCA ensalada gourmet EUROPEA 200g ', 'DANAIK Varios ']","[1, 1, 2, 1, 2]","[1269100.0, 2111900.0, 632100.0, 370000.0, 1477350.0]"
20/07/2020,00001 CLIENTE CONTADO,"['ESPICY Honey picante 360ml ', 'HEBREW NATIONAL beff franks ', 'ECO PAN BATATA  Varios ']","[1, 2, 1]","[1055950.0, 1479800.0, 735000.0]"
20/07/2020,00001 CLIENTE CONTADO,['KABALANCE Dulce de Leche POTE '],[3],[2744000.0]
20/07/2020,00013 MERMA,['SOTAVENTO Atun Rosado Lomo 300g '],[1],[2111900.0]
20/07/2020,00001 CLIENTE CONTADO,"['FOLLOW your heart PARMESAN 113G ', 'FINCA kale 200g ', 'RUBIO PULIDO Lomo Atun X KILO ', 'NORDIC REERVE Whisky Honey 4oz ']","[1, 1, 0.796, 1]","[2954700.0, 278571.43, 3589250.0, 2111900.0]"
20/07/2020,00001 CLIENTE CONTADO,"['TALENTI caramel cookie crunh ', 'TALENTI Alphonso mano 473ml ', 'FINCA rugula 60g ']","[1, 1, 1]","[2111900.0, 2111900.0, 278571.43]"
20/07/2020,00001 CLIENTE CONTADO,"['KALAN NUT ', 'KALAN COCONUT ', 'KALAN NUT ', 'KALAN COCONUT ', 'KALAN CHOCOLATE ', 'KALAN CHOCOLATE ']","[1, 1, 1, 1, 1, 1]","[1055950.0, 1055950.0, 1055950.0, 1055950.0, 1055950.0, 1055950.0]"
20/07/2020,00001 CLIENTE CONTADO,"['EZEKIEL 4:9 Sprouted Grain Tortillas 12o ', 'KALAN BERRY MIX FRUTOS ROJOS ', 'KALAN COCONUT ', 'NUCO Organic Coconut Wraps 5 unid 2.47oz ', 'LIBELULAS Sandwich  con o sin huevo ', 'THE HEALTHY MOVE Tequeños de Platano 12 ', 'THE HEALTHY MOVE tequeños avena ', 'DANAIK Varios ', 'LIBELULAS Base Pizza ']","[1, 1, 1, 1, 1, 2, 1, 1, 3]","[2111900.0, 1055950.0, 1055950.0, 1477350.0, 1055950.0, 3167850.0, 3167850.0, 1477350.0, 405172.41]"
20/07/2020,00001 CLIENTE CONTADO,"['KIND  caramel almond y sea salt 40g ', 'KIND Peanut Butter Dark Chocolate 40g ', 'MUNCHIES FIT Tortas Varias ', 'MUNCHIES FIT GALLETAS/ALFAJORES ', 'ELIGE SALUDABLE Marquesa Choco Choco ', 'KIND  caramel almond y sea salt 40g ', 'REESES TAKE 5 42G ']","[1, 1, 1, 1, 1, 1, 1]","[634550.0, 634550.0, 1688050.0, 1055950.0, 1266650.0, 634550.0, 421400.0]"
20/07/2020,00001 CLIENTE CONTADO,"['ANANKE Ricotta cebollin y cilantro 350g ', 'ANANKE Ricotta cebollin y cilantro 350g ', 'VGAN FRUIT Choco Bitter 500ml ', 'BELVITA Biscuit Blueberry 50g ']","[1, 1, 1, 1]","[1477350.0, 1477350.0, 1477350.0, 213150.0]"
20/07/2020,00001 CLIENTE CONTADO,"['EZEKIEL 4:9 Sprouted Grain Tortillas 12o ', 'HEALTHY CULINARIA pan blanco cuadrado ', 'MUNCHIES FIT Tortas Varias ', 'TORO NEGRO Merey 50g ', 'OH MARQUESAS Vanilla ', 'BASED RAW Galletas Almendras ']","[1, 1, 1, 1, 1, 1]","[2111900.0, 3802400.0, 1688050.0, 245000.0, 1266650.0, 1266650.0]"
20/07/2020,00001 CLIENTE CONTADO,['VEGA SOTUELAMOS Q. Oveja Trufado '],[3],[2325050.0]
20/07/2020,00001 CLIENTE CONTADO,"['RUFFLEA queso 300g ', 'PUIG Marilu vainilla 216g ', 'Frescolita Lata 355ml ', 'CACAO 3 Brownie ', 'PUIG Delicias Maria 34g ', 'Chinotto Lata 355ml ']","[1, 1, 1, 1, 4, 1]","[542133.51, 257634.44, 166904.76, 632100.0, 114285.71, 62251.72]"
20/07/2020,00001 CLIENTE CONTADO,"['TALENTI Alphonso mano 473ml ', 'KALAN GOLDEN MILK ', 'LA TOURANGELLE Sesame Oil 16.9oz 500ml ', 'NATURES CHARM coconut milk 400ml ']","[1, 1, 1, 1]","[2111900.0, 1055950.0, 4434500.0, 1055950.0]"
20/07/2020,00001 CLIENTE CONTADO,"['CRYSTAL LIGHT DECAF Lemon 6 unid ', 'CRYSTAL LIGHT Rasberry Ice Tea 1.6oz 45g ', 'CRYSTAL LIGHT Rasberry Ice Tea 1.6oz 45g ', 'CRYSTAL LIGHT Fruit Punch 38g ', 'KABALANCE saludable VARIAS ']","[1, 1, 1, 1, 3]","[1266650.0, 1477350.0, 1477350.0, 1266650.0, 1477350.0]"
20/07/2020,00001 CLIENTE CONTADO,"['KLONDIKE Oreo 4.5oz ', 'GOOD HUMOR Chocolate Chip 4.5oz ', 'GATTO GRILL Empanadas Varias 100 ', 'JACKS Mni Salado 175g ', 'ST MORITZ Flaquito Avell. UNIDAD ']","[1, 1, 1, 2, 2]","[632100.0, 634550.0, 1901200.0, 323406.91, 105595.0]"
20/07/2020,00001 CLIENTE CONTADO,['DELIAS BAKERY Pan Sandwich '],[1],[612500.0]
20/07/2020,00001 CLIENTE CONTADO,"['VIRGILIO Italiano da sempre X kilo ', 'REESE S 42g ', 'REESE S 42g ', 'CHIPS AHOY 2 Cookies 0.77oz 22g ']","[0.5, 1, 1, 1]","[8447600.0, 423850.0, 423850.0, 210700.0]"
20/07/2020,00001 CLIENTE CONTADO,['MIJAO turron de merey '],[2],[421400.0]
20/07/2020,00001 CLIENTE CONTADO,"['BEN Y JERRYS cookie dough 4oz ', 'ROULLE Mini Cinnamon Rolls 12Unid ']","[1, 1]","[634550.0, 1266650.0]"
20/07/2020,00001 CLIENTE CONTADO,"['CRYSTAL LIGHT DECAF Lemon 6 unid ', 'CRYSTAL LIGHT Rasberry Ice Tea 1.6oz 45g ', 'POLAR Pampero Ketchup 397g ', 'BEN Y JERRYS Vanilla 473ml ']","[3, 3, 1, 1]","[1266650.0, 1477350.0, 336544.96, 2744000.0]"
20/07/2020,00001 CLIENTE CONTADO,"['COCACOLA Zero Sugar 12oz 355ml ', 'MINALBA Sárkling 500cm3 ', 'MUNCHIES FIT GALLETAS/ALFAJORES ', 'MUNCHIES FIT Tortas Varias ', 'NATURINAS Queso Crema 200g ']","[35, 12, 4, 3, 1]","[213150.0, 111170.84, 1055950.0, 1688050.0, 1055950.0]"
20/07/2020,00001 CLIENTE CONTADO,"['CRYSTAL LIGHT Fruit Punch 38g ', 'CRYSTAL LIGHT Fruit Punch 38g ', 'CACAO 3 Big Slice ']","[1, 1, 1]","[1266650.0, 1266650.0, 1690500.0]"
20/07/2020,00001 CLIENTE CONTADO,"['PIKA Pita Crunch ', 'KALAN CAPUCCINO ', 'KALAN NUT ', 'CACAO 3 Sanduchito GALLETAS / BROWNIE ']","[1, 1, 1, 1]","[632100.0, 1055950.0, 1055950.0, 845250.0]"
20/07/2020,00001 CLIENTE CONTADO,"['BEN Y JERRYS Chocolate fudge brownie 4oz ', 'BEN Y JERRYS cookie dough 4oz ']","[1, 1]","[656600.0, 634550.0]"
20/07/2020,00001 CLIENTE CONTADO,"['MUNCHIES FIT Cookie Brownie ', 'ROS KETO Seeds Bread ', 'LIBELULAS Duos Con o Sin Huevo ', 'LIBELULAS Pan Perro ', 'KANIU yogurt de ccoco VEGANO 200g ', 'ELIGE SALUDABLE EMPANADA ', 'KUMATA VEGANAS Salchicha/Chorizo/Hamb ', 'EXPLORE CUISINE organic red lentil 300g ', 'VIOLIFE cheddar Shereds just like 227g ', 'TRADER JOES  Burger vegetable masala 284 ', 'TRADER JOES  Burger vegetable masala 284 ', 'TRADER JOES  Burger vegetable masala 284 ', 'TRADER JOES jackfruit cakes 240g ', 'MORNING Star Veggie chicken nuggets 298g ', 'MORNING Star Veggie chicken nuggets 298g ', 'TRADER JOES vegan chicken less 93g ', 'TEMPEH garbanzo 250g ', 'ANANKE Queso de Cabra FRESCO X KILO ', 'NATURINAS Leche de Coco 900cc ', 'EN ENCANTO Tequeño de golfeado ', 'MARKET PANTRY Macadamia nuts 64g ']","[1, 1, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.481, 1, 1, 1]","[1266650.0, 4645200.0, 632100.0, 1055950.0, 632100.0, 2111900.0, 1266650.0, 1898750.0, 3799950.0, 1901200.0, 1901200.0, 1901200.0, 1898750.0, 2322600.0, 2322600.0, 1055950.0, 1901200.0, 6125000.0, 632100.0, 1898750.0, 1269100.0]"
20/07/2020,00001 CLIENTE CONTADO,"['IMITATION Creb Flakes 1.135 k ', 'GREENLAND Edamame 16oz 454g ', 'GHIRARDELLI Brownie Dark Chocolate 20oz ', 'CACAO 3 Sanduchito GALLETAS / BROWNIE ']","[1, 1, 1, 2]","[2954700.0, 1477350.0, 1266650.0, 845250.0]"
20/07/2020,00001 CLIENTE CONTADO,"['SUN CHIPS original 42.5g ', 'LIBELULAS Base Pizza ', 'LIBELULAS Sandwich  con o sin huevo ', 'BASED RAW Galletas Almendras ']","[3, 2, 1, 1]","[423850.0, 405172.41, 1055950.0, 1266650.0]"
20/07/2020,00001 CLIENTE CONTADO,"['TALENTI Salted caramel truffle 11,4oz ', 'TALENTI Salted caramel truffle 11,4oz ']","[1, 1]","[2111900.0, 2111900.0]"
20/07/2020,00001 CLIENTE CONTADO,"['ECO PAN BATATA  Varios ', 'HEBREW NATIONAL beff franks ', 'HEBREW NATIONAL beff franks ']","[2, 1, 1]","[735000.0, 1479800.0, 1479800.0]"
20/07/2020,00001 CLIENTE CONTADO,"['ECO PAN BATATA  Varios ', 'MILTONS Cualifower crust pizza 2pack ', 'HEBREW NATIONAL beff franks ', 'LIBELULAS Base Pizza ', 'ROS KETO Seeds Bread ', 'HEALTHY CULINARIA pan blanco cuadrado ', 'KRAFT Singles American 24  Slices ', 'LAS TIAS Tequeños Queso 40 unid ', 'PHILADELPHIA Original BARRA 8oz ']","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[735000.0, 7604800.0, 1479800.0, 405172.41, 4645200.0, 3802400.0, 1477350.0, 3802400.0, 1055950.0]"
20/07/2020,00001 CLIENTE CONTADO,"['MINALBA agua 5 litros ', 'BELGIOIOSO Provolone 907g ', 'GOOD HUMOR Giant vainilla ', 'CACAO 3 Sanduchito GALLETAS / BROWNIE ', 'THE HEALTHY MOVE Tequeños de Platano 12 ']","[4, 1, 4, 2, 1]","[372688.67, 2111900.0, 634550.0, 845250.0, 3167850.0]"
20/07/2020,00001 GIFT CERTIFICATE ERICK ,"['KRAFT Singles American 24  Slices ', 'PHILADELPHIA Original BARRA 8oz ', 'LAS TIAS Tequeños Queso 40 unid ', 'GOUDA CHEESE Dutch Tradition ', 'NESTLE  NESCAFE Clasico 200G ', 'SWEET BABY RAYS Barbecue Sauce 40oz ', 'CRYSTAL LIGHT Rasberry Ice Tea 1.6oz 45g ', 'CRYSTAL LIGHT DECAF Lemon 6 unid ', 'NESTLE Nesquik Choco No Sugar Added 16oz ', 'BASED RAW Granola vainilla-canela ', 'MIJAO SEEDS Merey  CON/SIN sal ', 'NARU Pistachos tostados son sal 400g ', 'PLUMROSE Tocineta Rebanada X KILO ', 'EVEBA ATUN SOLIDO en aceite vegetal 140g ', 'MILKA caramel 20g ', 'TWIX two right 50.7g ', 'REESE S 42g ', 'M M Peanut 49.3g ']","[2, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 0.874, 6, 1, 3, 2, 1]","[1477350.0, 1055950.0, 3802400.0, 5703600.0, 3167850.0, 1688050.0, 1477350.0, 1266650.0, 2533300.0, 2111900.0, 1477350.0, 2322600.0, 3167850.0, 392000.0, 632100.0, 421400.0, 423850.0, 421400.0]"
20/07/2020,00001 CLIENTE CONTADO,['TALENTI Sea Salt Caramel 473ml '],[1],[2111900.0]
20/07/2020,00002 ALEXIS,['KALAN CHOCOLATE '],[1],[1055950.0]
21/07/2020,00001 CLIENTE CONTADO,"['KLONDIKE Oreo 4.5oz ', 'KLONDIKE Oreo 4.5oz ', 'GOOD HUMOR Chocolate Chip 4.5oz ', 'GOOD HUMOR Chocolate Chip 4.5oz ', 'GOOD HUMOR Giant vainilla ', 'GOOD HUMOR Giant vainilla ', 'GOOD HUMOR Giant vainilla ', 'ANGIES Boom Chicka Pop Sea Salt 0.6oz 17 ', 'ANGIES Boom Chicka Pop Sea Salt 0.6oz 17 ', 'ANGIES Boom Chicka Pop Sea Salt 0.6oz 17 ', 'ANGIES Boom Chicka Pop Sea Salt 0.6oz 17 ', 'KALAN NUT ', 'KALAN BERRY MIX FRUTOS ROJOS ', 'KALAN AMARANTH ', 'KALAN TARO ', 'KALAN GOLDEN MILK ', 'KALAN CRANBERRY ', 'KALAN CHOCOLATE ', 'ANANKE Queso Cabra FETA Cubos 250g ', 'LAKANTO monkfruit sweetener classic 235g ', 'MAPLE GROVE FARMS Maple flavor 355ml ', 'MAPLE GROVE FARMS Maple flavor 355ml ', 'DLIMON Puro Limon 350ml ', 'DLIMON Puro Limon 350ml ', 'DLIMON Puro Limon 350ml ', 'DLIMON Puro Limon 350ml ', 'KANIU yogurt de ccoco VEGANO 200g ', 'FOOD TO LIVE Chinese Hemp 454g ']","[1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1]","[632100.0, 632100.0, 634550.0, 634550.0, 634550.0, 634550.0, 634550.0, 842800.0, 842800.0, 842800.0, 842800.0, 1055950.0, 1055950.0, 1055950.0, 1055950.0, 1055950.0, 1055950.0, 1055950.0, 1477350.0, 2957150.0, 1269100.0, 1269100.0, 842800.0, 842800.0, 842800.0, 842800.0, 632100.0, 4010650.0]"
21/07/2020,00001 CLIENTE CONTADO,"['EXPLORE CUISINE Black Bean Spaghetti 8oz ', 'EXPLORE CUISINE Edamame mung bean ', 'EXPLORE CUISINE Edamame mung bean ', 'KALAN BERRY MIX FRUTOS ROJOS ', 'TODDY Chips 6 unidades ', 'ELIGE SALUDABLE nutri pollo ']","[1, 1, 1, 1, 1, 1]","[3167850.0, 2111900.0, 2111900.0, 1055950.0, 421400.0, 1477350.0]"
21/07/2020,00001 CLIENTE CONTADO,"['UDIS Hamburguer buns G/F 296g ', 'UDIS Hamburguer buns G/F 296g ', 'UDIS Hamburguer buns G/F 296g ', 'HEBREW NATIONAL beff franks ', 'LIBELULAS Pan Perro ', 'GATORADE Tropical 500ml ']","[1, 1, 1, 1, 2, 1]","[2954700.0, 2954700.0, 2954700.0, 1479800.0, 1055950.0, 185691.9]"
